platform,review_id,business_id,author_name,rating,text,language,created_at,fetched_at,review_url
google,1761334157,ChIJP_Ie6gb0K4gRZacC1pfH44M,Viyanna Koul,2,don’t order the chicken korma it’s literally coconut chicken,en,2025-10-24T15:29:17-04:00,2025-11-05T18:25:03.337527-05:00,
google,1761236768,ChIJP_Ie6gb0K4gRZacC1pfH44M,Adam,5,,,2025-10-23T12:26:08-04:00,2025-11-05T18:25:03.337579-05:00,
google,1759605263,ChIJP_Ie6gb0K4gRZacC1pfH44M,RS V,1,,,2025-10-04T15:14:23-04:00,2025-11-05T18:25:03.337622-05:00,
google,1759540912,ChIJP_Ie6gb0K4gRZacC1pfH44M,veronica liang,5,Famous Waterloo curry place must try,en,2025-10-03T21:21:52-04:00,2025-11-05T18:25:03.337662-05:00,
google,1758858567,ChIJP_Ie6gb0K4gRZacC1pfH44M,S R,5,Best Indian food in a friendly family run restaurant!,en,2025-09-25T23:49:27-04:00,2025-11-05T18:25:03.337703-05:00,
